uf_abb,uf_code,munic_code,munic_name,d_1997,d_1998,d_1999,d_2000,d_2001,d_2002,d_2003,d_2004,d_2005,d_2006,d_2007,d_2008,d_2009,d_2010,d_2011,d_2012,d_2013,d_2014,d_2015,d_2016,d_2017,d_2018,d_2019,d_2020,d_2021,d_2022,previous_mun_1997,previous_mun_1998,previous_mun_1999,previous_mun_2000,previous_mun_2001,previous_mun_2002,previous_mun_2003,previous_mun_2004,previous_mun_2005,previous_mun_2006,previous_mun_2007,previous_mun_2008,previous_mun_2009,previous_mun_2010,previous_mun_2011,previous_mun_2012,previous_mun_2013,previous_mun_2014,previous_mun_2015,previous_mun_2016,previous_mun_2017,previous_mun_2018,previous_mun_2019,previous_mun_2020,previous_mun_2021,previous_mun_2022
RO,11,1100403,Alto Paraíso,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403,1100403
RO,11,1100452,Buritis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452,1100452
RO,11,1100502,Novo Horizonte do Oeste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502,1100502
RO,11,1100601,Cacaulândia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601,1100601
RO,11,1100700,Campo Novo de Rondônia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700,1100700
RO,11,1100809,Candeias do Jamari,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809,1100809
RO,11,1100908,Castanheiras,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908,1100908
RO,11,1100924,Chupinguaia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924,1100924
RO,11,1100940,Cujubim,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940,1100940
RO,11,1101005,Governador Jorge Teixeira,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005,1101005
